Date,MarketCap,Volume,Price,,
2024-10-09,"$140,690,360","$1,058,623",1.63,,
2024-10-08,"$141,833,905","$1,136,215",1.695,,
2024-10-07,"$143,006,508","$498,244",1.705,,
2024-10-06,"$144,666,046","$441,469",1.72,,
2024-10-05,"$146,947,383","$1,207,775",1.745,,
2024-10-04,"$143,299,492","$1,753,451",1.74,,
2024-10-03,"$158,018,790","$894,086",1.805,,
2024-10-02,"$158,815,233","$3,077,600",1.895,,
2024-10-01,"$174,003,565","$1,349,832",2,,
2024-09-30,"$182,988,073","$2,181,692",2.145,,
2024-09-29,"$199,184,543","$1,271,909",2.29,,
2024-09-28,"$199,719,625","$2,790,699",2.395,,
2024-09-27,"$181,742,944","$1,442,266",2.29,,
2024-09-26,"$174,943,425","$1,253,829",2.14,,
2024-09-25,"$177,275,825","$1,308,897",2.11,,
2024-09-24,"$171,454,815","$1,083,612",2.09,,
2024-09-23,"$168,979,237","$700,581",2.04,,
2024-09-22,"$177,133,093","$592,696",2.07,,
2024-09-21,"$173,415,220","$2,443,453",2.1,,
2024-09-20,"$171,154,356","$1,828,440",2.065,,
2024-09-19,"$161,196,270","$1,385,164",1.99,,
2024-09-18,"$162,102,420","$756,891",1.935,,
2024-09-17,"$153,744,633","$582,904",1.89,,
2024-09-16,"$153,940,018","$628,413",1.845,,
2024-09-15,"$160,384,981","$437,442",1.885,,
2024-09-14,"$164,317,265","$757,263",1.945,,
2024-09-13,"$159,483,224","$701,988",1.94,,
2024-09-12,"$156,109,474","$1,544,282",1.89,,
2024-09-11,"$157,133,652","$663,532",1.875,,
2024-09-10,"$153,473,719","$1,130,540",1.86,,
2024-09-09,"$143,918,583","$916,590",1.785,,
2024-09-08,"$148,168,033","$432,535",1.755,,
2024-09-07,"$148,402,237","$1,889,733",1.78,,
2024-09-06,"$154,022,389","$537,055",1.815,,
2024-09-05,"$157,409,892","$1,165,277",1.87,,
2024-09-04,"$156,018,086","$917,732",1.88,,
2024-09-03,"$166,445,320","$728,762",1.93,,
2024-09-02,"$157,288,165","$857,208",1.94,,
2024-09-01,"$168,444,497","$986,739",1.955,,
2024-08-31,"$174,426,431","$2,561,021",2.055,,
2024-08-30,"$168,301,123","$2,705,441",2.055,,
2024-08-29,"$155,640,759","$1,932,778",1.945,,
2024-08-28,"$166,670,825","$2,623,460",1.935,,
2024-08-27,"$178,556,738","$2,105,384",2.07,,
2024-08-26,"$192,196,600","$5,667,214",2.22,,
2024-08-25,"$171,399,512","$5,364,397",2.18,,
2024-08-24,"$125,889,637","$3,687,006",1.785,,
2024-08-23,"$113,203,593","$699,552",1.435,,
2024-08-22,"$115,269,484","$387,942",1.37,,
2024-08-21,"$117,612,087","$690,583",1.395,,
2024-08-20,"$116,508,598","$843,879",1.4,,
2024-08-19,"$123,640,126","$316,959",1.44,,
2024-08-18,"$121,301,613","$290,154",1.47,,
2024-08-17,"$121,105,749","$536,565",1.45,,
2024-08-16,"$123,352,057","$573,912",1.465,,
2024-08-15,"$124,480,482","$829,046",1.485,,
2024-08-14,"$124,527,204","$845,244",1.495,,
2024-08-13,"$122,831,466","$963,510",1.485,,
2024-08-12,"$126,969,278","$836,774",1.495,,
2024-08-11,"$138,816,055","$450,900",1.59,,
2024-08-10,"$140,337,044","$1,557,164",1.68,,
2024-08-09,"$147,031,616","$1,898,745",1.735,,
2024-08-08,"$134,021,635","$1,676,924",1.69,,
2024-08-07,"$130,797,627","$2,543,098",1.595,,
2024-08-06,"$113,552,934","$4,680,607",1.47,,
2024-08-05,"$121,272,552","$1,719,846",1.41,,
2024-08-04,"$137,320,746","$1,415,909",1.555,,
2024-08-03,"$149,192,768","$1,476,902",1.72,,
2024-08-02,"$164,820,032","$2,024,621",1.885,,
2024-08-01,"$172,674,184","$2,432,318",2.025,,
2024-07-31,"$181,922,958","$1,562,412",2.125,,
2024-07-30,"$192,697,403","$1,749,517",2.245,,
2024-07-29,"$211,906,403","$1,010,137",2.425,,
2024-07-28,"$222,883,509","$1,278,962",2.605,,
2024-07-27,"$230,854,754","$1,162,526",2.72,,
2024-07-26,"$210,162,023","$1,496,841",2.645,,
2024-07-25,"$219,468,435","$1,007,287",2.575,,
2024-07-24,"$217,004,135","$1,272,898",2.615,,
2024-07-23,"$233,179,498","$13,013,376",2.7,,
2024-07-22,"$244,595,467","$2,328,935",2.87,,
2024-07-21,"$208,657,409","$976,187",2.72,,
2024-07-20,"$220,035,191","$2,148,482",2.565,,
2024-07-19,"$212,569,424","$2,290,149",2.59,,
2024-07-18,"$225,590,121","$1,364,444",2.625,,
2024-07-17,"$241,230,204","$1,472,866",2.795,,
2024-07-16,"$244,834,761","$1,616,933",2.905,,
2024-07-15,"$241,222,802","$1,277,638",2.9,,
2024-07-14,"$227,824,402","$540,750",2.805,,
2024-07-13,"$223,843,714","$1,172,549",2.705,,
2024-07-12,"$227,320,900","$851,065",2.7,,
2024-07-11,"$241,257,494","$1,165,009",2.805,,
2024-07-10,"$243,828,172","$1,062,794",2.905,,
2024-07-09,"$237,616,391","$2,060,709",2.885,,
2024-07-08,"$236,713,138","$2,092,705",2.845,,
2024-07-07,"$252,758,722","$2,227,501",2.935,,
2024-07-06,"$226,003,464","$3,588,964",2.87,,
2024-07-05,"$209,656,579","$2,874,829",2.615,,
2024-07-04,"$243,085,680","$1,376,381",2.72,,
2024-07-03,"$271,204,315","$1,342,599",3.085,,
2024-07-02,"$267,241,867","$2,152,613",3.225,,
2024-07-01,"$261,292,752","$972,182",3.165,,
2024-06-30,"$240,019,947","$1,069,241",3.005,,
2024-06-29,"$243,464,894","$1,269,543",2.9,,
2024-06-28,"$266,913,735","$2,659,453",3.06,,
2024-06-27,"$228,403,226","$1,482,685",2.97,,
2024-06-26,"$249,721,135","$3,835,290",2.865,,
2024-06-25,"$212,944,418","$2,472,911",2.775,,
2024-06-24,"$186,674,768","$1,019,900",2.4,,
2024-06-23,"$213,895,230","$836,739",2.405,,
2024-06-22,"$229,050,757","$2,283,811",2.66,,
2024-06-21,"$236,140,898","$2,379,611",2.79,,
2024-06-20,"$245,940,190","$1,503,043",2.89,,
2024-06-19,"$249,303,164","$2,660,743",2.97,,
2024-06-18,"$261,772,390","$1,614,064",3.065,,
2024-06-17,"$290,202,426","$855,609",3.31,,
2024-06-16,"$263,837,774","$922,754",3.32,,
2024-06-15,"$265,738,441","$2,392,818",3.17,,
2024-06-14,"$282,623,665","$3,678,068",3.285,,
2024-06-13,"$304,049,809","$2,461,948",3.52,,
2024-06-12,"$305,992,635","$2,800,255",3.655,,
2024-06-11,"$321,210,732","$1,548,234",3.755,,
2024-06-10,"$348,905,325","$1,645,805",4.015,,
2024-06-09,"$325,145,568","$3,027,323",4.04,,
2024-06-08,"$348,571,785","$4,809,330",4.035,,
2024-06-07,"$389,621,464","$3,749,427",4.425,,
2024-06-06,"$409,456,080","$9,770,912",4.785,,
2024-06-05,"$373,866,096","$4,326,136",4.695,,
2024-06-04,"$338,470,170","$1,989,875",4.28,,
2024-06-03,"$322,574,018","$1,641,136",3.965,,
2024-06-02,"$326,929,245","$1,224,678",3.9,,
2024-06-01,"$293,398,914","$1,455,812",3.725,,
2024-05-31,"$311,521,855","$1,598,152",3.62,,
2024-05-30,"$321,236,820","$1,614,893",3.785,,
2024-05-29,"$336,758,666","$2,620,653",3.945,,
2024-05-28,"$355,182,409","$2,066,494",4.15,,
2024-05-27,"$352,087,106","$1,662,506",4.24,,
2024-05-26,"$394,099,694","$1,138,035",4.475,,
2024-05-25,"$376,496,975","$1,957,070",4.625,,
2024-05-24,"$392,043,655","$3,087,193",4.61,,
2024-05-23,"$430,809,988","$3,434,589",4.915,,
2024-05-22,"$425,233,639","$3,175,149",5.11,,
2024-05-21,"$448,302,031","$2,812,147",5.235,,
2024-05-20,"$420,355,303","$2,207,270",5.21,,
2024-05-19,"$445,760,047","$3,170,902",5.19,,
2024-05-18,"$431,918,791","$2,012,413",5.26,,
2024-05-17,"$395,651,630","$2,815,258",4.965,,
2024-05-16,"$423,948,510","$5,152,306",4.915,,
2024-05-15,"$356,237,173","$2,499,457",4.68,,
2024-05-14,"$394,880,975","$2,958,920",4.51,,
2024-05-13,"$370,419,417","$1,318,819",4.595,,
2024-05-12,"$370,647,979","$1,270,656",4.445,,
2024-05-11,"$339,304,308","$2,569,888",4.255,,
2024-05-10,"$371,085,396","$4,830,762",4.26,,
